"cov","dr","ds","t","lspos","text"
"CC",  209.1,1350,"Nt","F","LC"
"CC",  284.6, 639,"Nt","F","LC"
"CN",  789.9,1045,"Nt","F","LC"
"CO",  981.6,1954,"Nt","F","LC"
"CC",  354.3,2181,"Nt","F","LC"
"CC",  566.3,2184,"Nt","F","LC"
"CN",  702.8,1795,"Nt","F","L"
"CO",  659.2,1098,"Nt","F","L"
"CC",  287.5, 685,"Nt","C","LC"
"CN",  421.1,1345,"Nt","C","LC"
"CN",  264.3,1013,"Nt","C","LC"
"CN",  325.2, 433,"Nt","C","LC"
"NN",  122.0,1231,"Nt","C","LC"
"NO", 1094.8,2204,"Nt","A","L"
"CC", 2053.1,3090,"Nt","A","L"
"NO", 3026.0,2355,"Nt","A","L"
"CO", 3554.5,1966,"Nt","A","L"
"NN", 3502.2,1989,"Nt","A","L"
"ON",   20.3,1054,"Nt","A","L'"
"CC",  409.5,1391,"Cp","A","L'"
"CC",  212.0,1196,"Cp","C","LC"
"CC", 1176.1,1533,"Cp","C","LC"
"CC", 1240.0,1917,"Cp","C","LC"
"NN", 1341.6,2837,"Cp","C","LC"
"CC", 1515.9,2680,"Cp","C","LC"
"CC", 1713.4,2262,"Cp","B","L"
"OO", 1916.6,1873,"Cp","B","L"
"OC", 2012.5,2256,"Cp","B","L"
"CO", 1123.8,2384,"Nt","A","L"
"CN",  365.9,1411,"Nt","A","L"
"CO",  470.4, 439,"Nt","A","L"
"CN",  360.1, 671,"Nt","A","LC"
"CN",   14.5,1028,"Nt","A","LC"
"CC",  487.9, 450,"Nt","F","LC"
"CN",  156.8, 970,"Nt","F","LC"
"CN",  238.1, 982,"Nt","F","LC"
"CN",  177.1,1208,"Nt","F","LC"
"CN",  212.0,1716,"Nt","F","LC"
"CN", 1184.8, 822,"Nt","F","LC"
"CN",  932.2, 816,"Nt","F","L"
"CN",   14.5, 380,"Nt","F","L"
"CO",  987.4,1223,"Nt","C","LC"
"CN",  435.6,1420,"Nt","C","LC"
"CN",  183.0, 758,"Nt","C","LC"
"CC",  467.5,1057,"Nt","C","LC"
"CO", 1440.4,1734,"Nt","A","L"
"CC", 2398.7,2117,"Nt","A","L"
"CO", 2970.8,1748,"Nt","A","L"
"NC", 2581.7, 993,"Nt","A","L'"
"NN", 2529.4,1016,"Nt","A","L"
"CO", 2918.5,1806,"Nt","A","L"
"CO", 1080.3,2402,"Nt","A","L'"
"CN",  142.3,2010,"Nt","A","L'"
"NN",  455.9,1051,"Nt","A","L'"
"CC",   29.0, 238,"Nt","C","LC"
"ON",  252.6, 575,"Cp","C","LC"
"OO",  281.7,1481,"Cp","C","LC"
"CN",  383.3,2454,"Cp","C","LC"
"NN",  557.6,2297,"Nt","B","L"
"CN",  755.0,1339,"Nt","B","L"
"CN",  958.3, 915,"Nt","B","L"
"CN", 1245.8,1298,"Nt","A","L'"
"CO",  670.8,1673,"Nt","A","L'"
"CN",   40.7,1644,"Nt","A","L'"
"CN",   78.4, 915,"Nt","B","L"
"CN",  302.0, 555,"Nt","C","LC"
"CO",  101.6, 511,"Nt","C","LC"
"CN",  273.0,1408,"Nt","A","LC"
"NO",  212.0,1199,"Nt","A","LC"
"CO",   58.1, 227,"Nt","F","LC"
"CC",   34.8, 793,"Nt","F","LC"
"CC",  711.5,1600,"Nt","F","LC"
"CC", 1463.6, 627,"Nt","F","LC"
"CN",  856.7, 613,"Nt","F","LC"
"CC",  101.6, 308,"Nt","F","L"
"CN", 1074.5,1199,"Nt","C","LC"
"NN", 1045.4,1257,"Nt","C","LC"
"CN",  110.4, 351,"Nt","C","LC"
"CC",  833.4, 894,"Nt","C","LC"
"CO", 2570.0,1464,"Nt","A","L"
"CC", 2073.5,1481,"Nt","A","L"
"CO", 1623.3, 508,"Nt","A","L'"
"NO", 1571.1, 566,"Nt","A","L'"
"NN", 1960.2,1539,"Nt","A","L"
"CO", 2822.7,2512,"Nt","A","L"
"CC",  406.6,3186,"Nt","A","L'"
"CO",  264.3,2213,"Nt","A","L'"
"CN",  551.8,1255,"Nt","A","L'"
"CO",  380.4, 746,"Nt","B","L"
"CC",  319.4, 677,"Nt","C","LC"
"NN",  601.1,1522,"Nt","C","LC"
"NN",  508.2,2326,"Nt","B","L"
"NN",  188.8,1954,"Nt","B","L"
